,B1,B2,B3,B4,B5,B6,B8,B9,B10,B11,B13,B14,B15,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B28,B29,B30,B31,B32
P10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
P3,32,0,16,0,3,7,0,0,0,0,0,0,129,0,0,0,14,0,0,1,2,5,3,9,0,0,0,0
P4,7,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0
P5,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
P7,15,2,15,0,2,23,0,0,0,0,1,0,23,2,0,1,88,10,2,9,0,0,80,9,0,0,1,1
P20,6,0,1,0,0,1,1,1,5,1,0,0,3,0,9,0,2,0,0,1,0,0,0,0,0,0,0,0
P1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
P9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P11,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,3,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0
P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P13,3,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P16,3,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,26,2,0,2,0,0,5,0,0,0,0,0
P17,10,0,1,2,0,4,0,0,0,0,0,0,30,0,0,0,21,0,0,1,0,10,0,4,0,0,0,0
P18,0,0,2,0,0,5,0,0,0,0,0,0,19,0,0,0,11,1,0,0,0,3,37,3,0,0,0,0
P19,7,0,6,0,1,16,0,0,0,0,0,0,17,0,0,0,3,1,1,0,0,1,14,4,0,0,0,0